Municipio,Ano,Vacas
1100080,2008,3290
1100080,2009,3495
1100080,2010,3777
1100080,2011,6284
1100080,2012,6912
1100080,2013,6003
1100080,2014,7896
1100940,1974,-
1100940,1975,-
1100940,1976,-
1100940,1977,-
1100940,1978,-
1100940,1979,-
1100940,1980,-
1100940,1981,-
1100940,1982,-
1100940,1983,-
1100940,1984,-
1100940,1985,-
1100940,1986,-
1100940,1987,-
1100940,1988,-
1100940,1989,-
1100940,1990,-
1100940,1991,-
1100940,1992,-
1100940,1993,-
1100940,1994,-
1100940,1995,-
1100940,1996,-
1100940,1997,454
1100940,1998,1405
1100940,1999,721
1100940,2000,779
1100940,2001,1020
1100940,2002,1129
1100940,2003,2620
1100940,2004,3459
1100940,2005,4039
1100940,2006,4640
1100940,2007,4418
1100940,2008,4966
1100940,2009,5369
1100940,2010,7089
1100940,2011,5689
1100940,2012,4722
1100940,2013,4943
1100940,2014,8201
1100098,1974,-
1100098,1975,-
1100098,1976,-
1100098,1977,-
1100098,1978,-
1100098,1979,-
1100098,1980,-
1100098,1981,-
1100098,1982,1614
1100098,1983,6480
1100098,1984,8846
1100098,1985,5675
1100098,1986,4512
1100098,1987,4075
1100098,1988,4417
1100098,1989,4790
1100098,1990,9190
1100098,1991,13348
1100098,1992,17357
1100098,1993,19262
1100098,1994,22560
1100098,1995,24365
1100098,1996,10681
1100098,1997,11743
1100098,1998,13630
1100098,1999,15125
1100098,2000,16638
1100098,2001,20257
1100098,2002,21150
1100098,2003,12737
1100098,2004,14826
1100098,2005,14869
1100098,2006,18334
1100098,2007,21316
1100098,2008,19509
1100098,2009,20190
1100098,2010,20663
1100098,2011,24647
1100098,2012,18140
1100098,2013,17788
1100098,2014,23694
1101005,1974,-
1101005,1975,-
1101005,1976,-
1101005,1977,-
1101005,1978,-
1101005,1979,-
1101005,1980,-
1101005,1981,-
1101005,1982,-
1101005,1983,-
1101005,1984,-
1101005,1985,-
1101005,1986,-
1101005,1987,-
1101005,1988,-
1101005,1989,-
1101005,1990,-
1101005,1991,-
1101005,1992,-
1101005,1993,7920
1101005,1994,3049
1101005,1995,5225
1101005,1996,7357
1101005,1997,8092
1101005,1998,9455
1101005,1999,10422
1101005,2000,11256
1101005,2001,17381
1101005,2002,24827
1101005,2003,36232
1101005,2004,41888
1101005,2005,47066
1101005,2006,41752
1101005,2007,48851
1101005,2008,46127
1101005,2009,47068
1101005,2010,47237
1101005,2011,24647
1101005,2012,19896
1101005,2013,23020
1101005,2014,31476
1100106,1974,647
1100106,1975,1071
1100106,1976,1458
1100106,1977,1176
1100106,1978,823
1100106,1979,1708
1100106,1980,5832
1100106,1981,2277
1100106,1982,2116
1100106,1983,1510
1100106,1984,3158
1100106,1985,2416
1100106,1986,2422
1100106,1987,3027
1100106,1988,2065
1100106,1989,1850
1100106,1990,1749
1100106,1991,2346
1100106,1992,4578
1100106,1993,6750
1100106,1994,900
1100106,1995,7465
1100106,1996,2213
1100106,1997,2435
1100106,1998,2541
1100106,1999,3136
1100106,2000,3387
1100106,2001,4315
1100106,2002,4895
1100106,2003,4346
1100106,2004,4873
1100106,2005,5545
1100106,2006,4432
1100106,2007,4310
1100106,2008,4649
1100106,2009,4538
1100106,2010,4496
1100106,2011,3571
1100106,2012,2130
1100106,2013,2021
1100106,2014,2562
1101104,1974,-
1101104,1975,-
1101104,1976,-
1101104,1977,-
1101104,1978,-
1101104,1979,-
1101104,1980,-
1101104,1981,-
1101104,1982,-
1101104,1983,-
1101104,1984,-
1101104,1985,-
1101104,1986,-
1101104,1987,-
1101104,1988,-
1101104,1989,-
1101104,1990,-
1101104,1991,-
1101104,1992,-
1101104,1993,3000
1101104,1994,396
1101104,1995,600
1101104,1996,1293
1101104,1997,1379
1101104,1998,1145
1101104,1999,1796
1101104,2000,1940
1101104,2001,4012
1101104,2002,4790
1101104,2003,4850
1101104,2004,5637
1101104,2005,6514
1101104,2006,5201
1101104,2007,5049
1101104,2008,6637
1101104,2009,7301
1101104,2010,7616
1101104,2011,6062
1101104,2012,1987
1101104,2013,1874
1101104,2014,3931
1100114,1974,-
1100114,1975,-
1100114,1976,-
1100114,1977,-
1100114,1978,-
1100114,1979,-
1100114,1980,-
1100114,1981,-
1100114,1982,1731
1100114,1983,4518
1100114,1984,6130
1100114,1985,3347
1100114,1986,6478
1100114,1987,8523
1100114,1988,15544
1100114,1989,12661
1100114,1990,23955
1100114,1991,28930
1100114,1992,42100
1100114,1993,26812
1100114,1994,26143
1100114,1995,44747
1100114,1996,31684
1100114,1997,34852
1100114,1998,34816
1100114,1999,41599
1100114,2000,44927
1100114,2001,41346
1100114,2002,54590
1100114,2003,74142
1100114,2004,88941
1100114,2005,92712
1100114,2006,83952
1100114,2007,94937
1100114,2008,89742
1100114,2009,93194
1100114,2010,92186
1100114,2011,73613
1100114,2012,74442
1100114,2013,38771
1100114,2014,52160
1100122,1974,-
1100122,1975,-
1100122,1976,-
1100122,1977,-
1100122,1978,1924
1100122,1979,5254
1100122,1980,17873
1100122,1981,7088
1100122,1982,3405
1100122,1983,5369
1100122,1984,10118
1100122,1985,14079
1100122,1986,15505
1100122,1987,8970
1100122,1988,9512
1100122,1989,10463
1100122,1990,21922
1100122,1991,26306
1100122,1992,28937
1100122,1993,34145
1100122,1994,26634
1100122,1995,30628
1100122,1996,26201
1100122,1997,28820
1100122,1998,36094
1100122,1999,37120
1100122,2000,40832
1100122,2001,39197
1100122,2002,51398
1100122,2003,56402
1100122,2004,64784
1100122,2005,66016
1100122,2006,54248
1100122,2007,53846
1100122,2008,47583
1100122,2009,48863
1100122,2010,48881
1100122,2011,39989
1100122,2012,39635
1100122,2013,24286
1100122,2014,32203
1100130,1974,-
1100130,1975,-
1100130,1976,-
1100130,1977,-
1100130,1978,-
1100130,1979,-
1100130,1980,-
1100130,1981,-
1100130,1982,-
1100130,1983,-
1100130,1984,-
1100130,1985,-
1100130,1986,-
1100130,1987,-
1100130,1988,-
1100130,1989,800
1100130,1990,1433
1100130,1991,1256
1100130,1992,1325
1100130,1993,1875
1100130,1994,2419
1100130,1995,3000
1100130,1996,3521
1100130,1997,2380
1100130,1998,2088
1100130,1999,3518
1100130,2000,3799
1100130,2001,5303
1100130,2002,6778
1100130,2003,17888
1100130,2004,23420
1100130,2005,28156
1100130,2006,23878
1100130,2007,27993
1100130,2008,33110
1100130,2009,34610
1100130,2010,36800
1100130,2011,39560
1100130,2012,32984
1100130,2013,17288
1100130,2014,26051
1101203,1974,-
1101203,1975,-
1101203,1976,-
1101203,1977,-
1101203,1978,-
1101203,1979,-
1101203,1980,-
1101203,1981,-
1101203,1982,-
1101203,1983,-
1101203,1984,-
1101203,1985,-
1101203,1986,-
1101203,1987,-
1101203,1988,-
1101203,1989,-
1101203,1990,-
1101203,1991,-
1101203,1992,-
1101203,1993,10734
1101203,1994,5400
1101203,1995,5670
1101203,1996,4330
1101203,1997,4765
1101203,1998,4652
1101203,1999,5691
1101203,2000,5808
1101203,2001,6202
1101203,2002,6982
1101203,2003,5740
1101203,2004,6705
1101203,2005,7144
1101203,2006,8415
1101203,2007,8006
1101203,2008,9126
1101203,2009,9277
1101203,2010,10134
1101203,2011,8999
1101203,2012,5755
1101203,2013,5999
1101203,2014,7578
1101302,1974,-
1101302,1975,-
1101302,1976,-
1101302,1977,-
1101302,1978,-
1101302,1979,-
1101302,1980,-
1101302,1981,-
1101302,1982,-
1101302,1983,-
1101302,1984,-
1101302,1985,-
1101302,1986,-
1101302,1987,-
1101302,1988,-
1101302,1989,-
1101302,1990,-
1101302,1991,-
1101302,1992,-
1101302,1993,3280
1101302,1994,2526
1101302,1995,3029
1101302,1996,5628
1101302,1997,6189
1101302,1998,6281
1101302,1999,7972
1101302,2000,8769
1101302,2001,10167
1101302,2002,12213
1101302,2003,20809
1101302,2004,23218
1101302,2005,24088
1101302,2006,22203
1101302,2007,22905
1101302,2008,20848
1101302,2009,21136
1101302,2010,21322
1101302,2011,19087
1101302,2012,20020
1101302,2013,11042
1101302,2014,15567
1101401,1974,-
1101401,1975,-
1101401,1976,-
1101401,1977,-
1101401,1978,-
1101401,1979,-
1101401,1980,-
1101401,1981,-
1101401,1982,-
1101401,1983,-
1101401,1984,-
1101401,1985,-
1101401,1986,-
1101401,1987,-
1101401,1988,-
1101401,1989,-
1101401,1990,-
1101401,1991,-
1101401,1992,-
1101401,1993,6450
1101401,1994,1173
1101401,1995,4225
1101401,1996,3185
1101401,1997,3503
1101401,1998,2906
1101401,1999,4512
1101401,2000,4873
1101401,2001,9302
1101401,2002,10967
1101401,2003,10711
1101401,2004,12418
1101401,2005,13890
1101401,2006,14465
1101401,2007,15407
1101401,2008,19248
1101401,2009,19853
1101401,2010,20614
1101401,2011,24809
1101401,2012,22996
1101401,2013,13566
1101401,2014,18402
1100148,1974,-
1100148,1975,-
1100148,1976,-
1100148,1977,-
1100148,1978,-
1100148,1979,-
1100148,1980,-
1100148,1981,-
1100148,1982,-
1100148,1983,-
1100148,1984,-
1100148,1985,-
1100148,1986,-
1100148,1987,-
1100148,1988,-
1100148,1989,138
1100148,1990,2197
1100148,1991,2593
1100148,1992,3112
1100148,1993,3672
1100148,1994,3525
1100148,1995,4371
1100148,1996,3387
1100148,1997,3725
1100148,1998,6170
1100148,1999,4449
1100148,2000,4894
1100148,2001,5717
1100148,2002,7337
1100148,2003,12405
1100148,2004,14962
1100148,2005,16638
1100148,2006,14015
1100148,2007,13856
1100148,2008,12451
1100148,2009,12592
1100148,2010,12889
1100148,2011,13364
1100148,2012,6619
1100148,2013,8078
1100148,2014,10510
1100338,1974,-
1100338,1975,-
1100338,1976,-
1100338,1977,-
1100338,1978,-
1100338,1979,-
1100338,1980,-
1100338,1981,-
1100338,1982,-
1100338,1983,-
1100338,1984,-
1100338,1985,-
1100338,1986,-
1100338,1987,-
1100338,1988,-
1100338,1989,2506
1100338,1990,3934
1100338,1991,4779
1100338,1992,3980
1100338,1993,5400
1100338,1994,776
1100338,1995,3220
1100338,1996,4685
1100338,1997,5909
1100338,1998,4001
1100338,1999,6637
1100338,2000,7168
1100338,2001,12048
1100338,2002,12412
1100338,2003,24612
1100338,2004,31795
1100338,2005,40057
1100338,2006,36629
1100338,2007,38460
1100338,2008,34625
1100338,2009,37488
1100338,2010,38583
1100338,2011,43155
1100338,2012,20352
1100338,2013,23106
1100338,2014,35857
1101435,1974,-
1101435,1975,-
1101435,1976,-
1101435,1977,-
1101435,1978,-
1101435,1979,-
1101435,1980,-
1101435,1981,-
1101435,1982,-
1101435,1983,-
1101435,1984,-
1101435,1985,-
1101435,1986,-
1101435,1987,-
1101435,1988,-
1101435,1989,-
1101435,1990,-
1101435,1991,-
1101435,1992,-
1101435,1993,-
1101435,1994,-
1101435,1995,-
1101435,1996,-
1101435,1997,11191
1101435,1998,10317
1101435,1999,11052
1101435,2000,12110
1101435,2001,10452
1101435,2002,16879
1101435,2003,24260
1101435,2004,26868
1101435,2005,28647
1101435,2006,29985
1101435,2007,28638
1101435,2008,28867
1101435,2009,30177
1101435,2010,31012
1101435,2011,31774
1101435,2012,32409
1101435,2013,11899
1101435,2014,13892
1100502,1974,-
1100502,1975,-
1100502,1976,-
1100502,1977,-
1100502,1978,-
1100502,1979,-
1100502,1980,-
1100502,1981,-
1100502,1982,-
1100502,1983,-
1100502,1984,-
1100502,1985,-
1100502,1986,-
1100502,1987,-
1100502,1988,-
1100502,1989,-
1100502,1990,-
1100502,1991,-
1100502,1992,-
1100502,1993,4013
1100502,1994,2916
1100502,1995,3149
1100502,1996,4931
1100502,1997,10187
1100502,1998,5826
1100502,1999,6477
1100502,2000,6789
1100502,2001,10498
1100502,2002,14927
1100502,2003,11047
1100502,2004,14326
1100502,2005,14083
1100502,2006,12515
1100502,2007,12038
1100502,2008,14258
1100502,2009,14622
1100502,2010,15510
1100502,2011,10430
1100502,2012,7674
1100502,2013,7080
1100502,2014,10143
1100155,1974,-
1100155,1975,-
1100155,1976,-
1100155,1977,-
1100155,1978,-
1100155,1979,-
1100155,1980,-
1100155,1981,-
1100155,1982,3672
1100155,1983,8572
1100155,1984,16000
1100155,1985,22048
1100155,1986,28110
1100155,1987,19516
1100155,1988,15613
1100155,1989,17174
1100155,1990,35984
1100155,1991,39582
1100155,1992,47499
1100155,1993,42981
1100155,1994,31291
1100155,1995,33794
1100155,1996,51232
1100155,1997,14458
